country,ISO3,GIRAI_region,GIRAI_subregion,UN_region,UN_sub_region,dimension,thematic_area,enforceability_benchmark,fr_coefficient,ga_coefficient,nsa_coefficient,ta_score,fr_weighted_score,ga_weighted_score,nsa_weighted_score,fr_adjust_score,ga_adjust_score,nsa_adjust_score,fr_norm_score,ga_norm_score,nsa_norm_score,fr_raw_score,ga_raw_score,nsa_raw_score,fr_doc1_existence_num,fr_doc1_existence_text,fr_doc1_title_english,fr_doc1_url,fr_doc1_type_num,fr_doc1_type_text,ga_existence_num,ga_existence_text,ga_title,ga_url,ga_type_num,ga_type_text,ga_draft_type_num,ga_draft_type_text,nsa_existence,nsa_au_existence_num,nsa_au_existence_text,nsa_au_name_english,nsa_au_url,nsa_au_type_num,nsa_au_type_text,nsa_au_action_title,nsa_au_action_url,nsa_au_action_type_num,nsa_au_action_type_text,nsa_cs_existence_num,nsa_cs_existence_text,nsa_cs_name_english,nsa_cs_url,nsa_cs_type_num,nsa_cs_type_text,nsa_cs_action_title,nsa_cs_action_url,nsa_cs_action_type_num,nsa_cs_action_type_text,nsa_ps_existence_num,nsa_ps_existence_text,nsa_ps_name_english,nsa_ps_url,nsa_ps_type_num,nsa_ps_type_text,nsa_ps_action_title,nsa_ps_action_url,nsa_ps_action_type_num,nsa_ps_action_type_text,year
Afghanistan,AFG,Asia and Oceania,South West Asia,Asia,Southern Asia,Responsible AI Governance,Access to Remedy and Redress,legally-enforceable,0.3030660373,0.3030660364,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No, there aren't.",,,,,0,"No, there is no evidence of government actions to address the thematic area.",,,,,,,0,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,2023
Afghanistan,AFG,Asia and Oceania,South West Asia,Asia,Southern Asia,Human Rights and AI,Bias and Unfair Discrimination,legally-enforceable,0.3030660373,0.3030660364,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No, there aren't.",,,,,0,"No, there is no evidence of government actions to address the thematic area.",,,,,,,0,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,2023
Afghanistan,AFG,Asia and Oceania,South West Asia,Asia,Southern Asia,Human Rights and AI,Children's Rights,legally-enforceable,0.3030660373,0.3030660364,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No, there aren't.",,,,,0,"No, there is no evidence of government actions to address the thematic area.",,,,,,,0,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,2023
Afghanistan,AFG,Asia and Oceania,South West Asia,Asia,Southern Asia,Responsible AI Capacities,Competitions Authorities,legally-enforceable,0.3030660373,0.3030660364,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No, there aren't.",,,,,0,"No, there is no evidence of government actions to address the thematic area.",,,,,,,0,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,2023
Afghanistan,AFG,Asia and Oceania,South West Asia,Asia,Southern Asia,Human Rights and AI,Cultural and Linguistic Diversity,binding,0.3030660373,0.3030660364,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No, there aren't.",,,,,0,"No, there is no evidence of government actions to address the thematic area.",,,,,,,0,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,2023
Afghanistan,AFG,Asia and Oceania,South West Asia,Asia,Southern Asia,Human Rights and AI,Data Protection and Privacy,legally-enforceable,0.3030660373,0.3030660364,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No, there aren't.",,,,,0,"No, there is no evidence of government actions to address the thematic area.",,,,,,,0,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,2023
Afghanistan,AFG,Asia and Oceania,South West Asia,Asia,Southern Asia,Human Rights and AI,Gender Equality,legally-enforceable,0.3030660373,0.3030660364,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No, there aren't.",,,,,0,"No, there is no evidence of government actions to address the thematic area.",,,,,,,0,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,2023
Afghanistan,AFG,Asia and Oceania,South West Asia,Asia,Southern Asia,Responsible AI Governance,Human Oversight and Determination,binding,0.3030660373,0.3030660364,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No, there aren't.",,,,,0,"No, there is no evidence of government actions to address the thematic area.",,,,,,,0,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,2023
Afghanistan,AFG,Asia and Oceania,South West Asia,Asia,Southern Asia,Responsible AI Governance,Impact Assessments,binding,0.3030660373,0.3030660364,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No, there aren't.",,,,,0,"No, there is no evidence of government actions to address the thematic area.",,,,,,,0,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,2023
Afghanistan,AFG,Asia and Oceania,South West Asia,Asia,Southern Asia,Responsible AI Capacities,International Cooperation,binding,0.3030660373,0.3030660364,0.34375,10.91037731,0,10.91037731,0,0,27.27594328,0,0,90,0,0,0.9,0,0,"No, there aren't.",,,,,1,"Yes, there is evidence of government actions to address the thematic area.",Adherence to UNESCO Recommendation on the Ethics of Artificial Intelligence,https://www.ohchr.org/sites/default/files/2022-03/UNESCO.pdf,10,Establishing partnerships and collaborations,,,0,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,2023
Afghanistan,AFG,Asia and Oceania,South West Asia,Asia,Southern Asia,Human Rights and AI,Labour Protection and Right to Work,legally-enforceable,0.3030660373,0.3030660364,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No, there aren't.",,,,,0,"No, there is no evidence of government actions to address the thematic area.",,,,,,,0,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,2023
Afghanistan,AFG,Asia and Oceania,South West Asia,Asia,Southern Asia,Responsible AI Governance,National AI Policy,binding,0.3030660373,0.3030660364,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No, it doesn't.",,,,,0,"No, there is no evidence of government actions to address the thematic area.",,,,,,,0,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,2023
Afghanistan,AFG,Asia and Oceania,South West Asia,Asia,Southern Asia,Responsible AI Governance,Proportionality and Do No Harm,legally-enforceable,0.3030660373,0.3030660364,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No, there aren't.",,,,,0,"No, there is no evidence of government actions to address the thematic area.",,,,,,,0,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,2023
Afghanistan,AFG,Asia and Oceania,South West Asia,Asia,Southern Asia,Human Rights and AI,Public Participation and Awareness,legally-enforceable,0.3030660373,0.3030660364,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No, there aren't.",,,,,0,"No, there is no evidence of government actions to address the thematic area.",,,,,,,0,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,2023
Afghanistan,AFG,Asia and Oceania,South West Asia,Asia,Southern Asia,Responsible AI Governance,Public Procurement,legally-enforceable,0.3030660373,0.3030660364,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No, there aren't.",,,,,0,"No, there is no evidence of government actions to address the thematic area.",,,,,,,0,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,2023
Afghanistan,AFG,Asia and Oceania,South West Asia,Asia,Southern Asia,Responsible AI Capacities,Public Sector Skills Development,binding,0.3030660373,0.3030660364,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No, there aren't.",,,,,0,"No, there is no evidence of government actions to address the thematic area.",,,,,,,0,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,2023
Afghanistan,AFG,Asia and Oceania,South West Asia,Asia,Southern Asia,Responsible AI Governance,Responsibility and Accountability,binding,0.3030660373,0.3030660364,0.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No, there aren't.",,,,,0,"No, there is no evidence of government actions to address the thematic area.",,,,,,,0,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,0,"No, there aren't.",,,,,,,,,2023
